Tiêu đề,Giá,Diện tích,Địa chỉ,Mô tả,Link
Bán Gấp Căn LK 70M- 4T khu Đô Thị Ao Sào - Hoàng Mai- Phân Lô KD ô tô tránh 19.88 Tỷ(TL),"Giá:19,888 tỷ",Diện tích:70m²,"Đường Thịnh Liệt,Phường Hoàng Mai,Hà Nội","+Cần Bán Gấp Căn Liền Kề Phân Lô- Vỉa Hè- Ô Tô tránh đỗ ngày đêm.
+DT: 70M -4 Tầng- MT 5M Wieu thoáng vĩnh viễn, khu vực rất ít nhà bán
+ Căn nhà nằm trong Khu đô thị Ao Sào nối liền thông sang khu Biệt thự Louis Hoàng......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-gap-can-lk-70m-4t-khu-do-thi-ao-sao-hoang-mai-phan-lo-kd-o-to-tranh-19-88-ty-tl--17421010.html
"Bán Nhà Đê Trần Khát Chân 35M-5T,Sát Phố và Ô Tô tránh lô góc chỉ hơn 7 tỷ cực đẹp","Giá:7,25 tỷ",Diện tích:35m²,"Đường Đê Trần Khát Chân,Phường Vĩnh Tuy,Hà Nội","+Thực sự tại thời điểm để kiếm 1 căn nhà ở vị đẹp với diện tích ntn thì cam kết ko có căn thứ 2.
+DT: 35M - 5 Tầng - 3 phòng ngủ - MT 4.2M trước nhà rộng 3m cực thoáng sáng, vô cùng sạch sẽ yên tĩnh mát mẻ.
+Lợi thế nh......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-de-tran-khat-chan-35m-5t-sat-pho-va-o-to-tranh-lo-goc-chi-hon-7-ty-cuc-dep-17426556.html
"Bán Nhà 5 Tầng, 45M phố Minh Khai, Hai Bà Trưng cách phố 20M chỉ 9.45 Tỷ(TL)","Giá:9,45 tỷ",Diện tích:45m²,"Đường Minh Khai,Phường Vĩnh Tuy,Hà Nội","🌷 MẶT PHỐ 20M - HÀNG XÓM TIME CITY - GẦN CẦU VĨNH TUY - NHÀ ĐẸP TẶNG NỘI THẤT CƠ BẢN. 🌷

+ Ngõ Minh Khai gần ngã 3 Minh Khai - Lạc Trung, vài buôn bước chân ra mặt phố, gần chợ ngay sát chân cầu Vĩnh Tuy giao thông t......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-5-tang-45m-pho-minh-khai-hai-ba-trung-cach-pho-20m-chi-10-48-ty-tl--17282882.html
Bán Liền Kề KĐT Văn Quán Hà Đông 70m2 4 Tầng  MT4.6m Vị Trí Đẹp KD Tốt.,"Giá:18,45 tỷ",Diện tích:70m²,"Phố Chiến Thắng,Phường Hà Đông,Hà Nội","+ LK KĐT Văn Quán phân lô KĐT vỉa hè, Ô tô tải tránh dừng đỗ gần hồ Văn Quán xung quanh tiện ích bạt ngàn. Cách 30m ra mặt phố Chiến Thắng, Rất thích hợp để ở kết hợp kinh doanh văn phòng, phòng khám,...

+ Nhà khung c......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-lien-ke-kdt-van-quan-ha-dong-70m2-4-tang-mt4-6m-vi-tri-dep-kd-tot--17179602.html
BÁN NHÀ PHỐ TRƯƠNG ĐỊNH- MINH KHAI CHỈ 150tr/m SỔ ĐẸP- GẦN PHỐ - TẶNG NỘI THẤT.,"Giá:6,08 tỷ",Diện tích:40m²,"Đường Trương Định,Phường Tương Mai,Hà Nội","Cần bán nhà phố Trương Định - Minh Khai cách phố 50m- ngõ thông rộng.
Duy nhất 1 căn giá 150/m sở hữu ngay kẻo mất
Dt 40m 4 tầng thiết kế 3pn+ vs từng tầng, nội thất đầy đủ tặng khách sẵn về ở luôn.
Sổ đỏ vuông- pháp ......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-pho-truong-dinh-minh-khai-chi-150tr-m-so-dep-gan-pho-tang-noi-that--17429324.html
"Biệt thự KĐT Tây Mễ Trì, HN. Sổ đỏ 140m. Mt 10m. 42.5 tỷ","Giá:42,5 tỷ",Diện tích:140m²,"Đường Đại Lộ Thăng Long,Phường Từ Liêm,Hà Nội","Bán gấp biệt thự KĐT Tây Mễ Trì - Nam Từ Liêm - HN. Giá 42.5 tỷ. Thương lượng chính chủ
✅️ Dt 140m. Mt 10m. Sổ đỏ cc
✅️ Nhà 4T, đã nhận bàn giao từ chủ đầu tư. Hạ tầng đồng bộ. Tk hiện đại
✅️ Khu đô thị giao thông thu......<< Xem chi tiết >>",https://alonhadat.com.vn/biet-thu-kdt-tay-me-tri-hn-so-do-140m-mt-10m-46-5-ty-16949271.html
Mở bán 6 lô đất tại thanh Sơn ( xã kim anh ),Giá:24 triệu / m²,Diện tích:108m²,",Xã Kim Anh,Hà Nội","Mở bán 6 lô đất tại thanh Sơn ( xã minh Phú, sóc Sơn cũ )( xã kim anh mới)
+ Vị trí đắc địa giá f0
+ Tiện ích gần trường, đảng ủy xã kim anh 400m 
+ Diện tích: 108m, 103m mỗi lô
  Quý Anh Chị có nhu cầu đầu tư đất ......<< Xem chi tiết >>",https://alonhadat.com.vn/mo-ban-6-lo-dat-tai-thanh-son-xa-kim-anh--17274097.html
"🏡 Cần bán lô đất đẹp – Lô góc 2 mặt tiền, ô tô tránh nhau thoải mái","Giá:16,5 triệu / m²",Diện tích:490m²,",Xã Kim Anh,Hà Nội","🏡 Cần bán lô đất đẹp – Lô góc 2 mặt tiền, ô tô tránh nhau thoải mái
📐 Diện tích: 490m² – Có sẵn 120m² thổ cư
📍 Vị trí: Thái Lai, xã Kim Anh, huyện Sóc Sơn, Hà Nội (khu vực Minh Trí – Sóc Sơn cũ)
🚗 Đường rộng, ô tô......<< Xem chi tiết >>",https://alonhadat.com.vn/-can-ban-lo-dat-dep-lo-goc-2-mat-tien-o-to-tranh-nhau-thoai-mai-17376472.html
"Bán đất tại Thôn Song Mai Đông, Xã Sóc Sơn, Hà Nội",Giá:26 triệu / m²,Diện tích:92m²,",Xã Sóc Sơn,Hà Nội","Bán đất tại Thôn Song Mai Đông, Xã Sóc Sơn, Hà Nội
+ Diện tích: 92,5 m²
+ Mặt tiền và hậu: 5 m
+ Giá bán: 26 triệu/m²
+ Tổng giá: 2,405 tỷ (có thương lượng)
+ Giấy tờ pháp lý đầy đủ, rõ ràng, sẵn sàng sang tên
+ ......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-dat-tai-thon-song-mai-dong-xa-soc-son-ha-noi-17414136.html
Cần bán lô sát trục tỉnh lộ 420 giá nhỉnh 2 tỷ,Giá:2 tỷ,Diện tích:100m²,"Tỉnh lộ 420,Xã Hạ Bằng,Hà Nội","Chính chủ bán lô đất 100m2 full thổ cư tại Hòa Lạc
Vị trí trung tâm hành chính cách đường tỉnh lộ 420 chỉ 50m
Gần khu công nghệ cao, trường đại học FPT và đại học Quốc Gia
Xung quanh dân cư đông đúc, đầy đủ tiện ích: ......<< Xem chi tiết >>",https://alonhadat.com.vn/can-ban-lo-sat-truc-tinh-lo-420-gia-nhinh-2-ty-17421384.html
"Chính chủ cần bán đất tại thôn Phú Cường, xã Kim Anh","Giá:1,8 tỷ",Diện tích:67m²,",Xã Kim Anh,Hà Nội","cần bán đất tại thôn Phú Cường, xã Kim Anh
 • Diện tích: 67m², đất full thổ cư
 • Giá chưa đến 2 tỷ – đầu tư tốt hoặc xây nhà ở đều hợp lý
 • Đường ô tô 7 chỗ vào tận đất, ngõ thông thoáng
 • Cách Quốc lộ 35 chỉ 200m......<< Xem chi tiết >>",https://alonhadat.com.vn/chinh-chu-can-ban-dat-tai-thon-phu-cuong-xa-kim-anh-17041869.html
"Bán lô đất 89m² và 87m², đất thổ cư, tại Tân Hưng, Ngọc Đạo, Sóc Sơn",Giá:24 triệu / m²,Diện tích:89m²,",Xã Đa Phúc,Hà Nội","+ Diện tích: 89m² và 87m²
+ Sổ đỏ: Sẵn sàng giao dịch (2 sổ riêng)
+ Vị trí: Cách tỉnh lộ 131 chỉ 100m, đang được cải tạo, mở rộng đường
+ Tiện ích: Cách chợ, trường mầm non, trường cấp 1 và cấp 2 chỉ 500m
+ Giá: 2.x......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-lo-dat-89m-va-87m-dat-tho-cu-tai-tan-hung-ngoc-dao-soc-son-17244008.html
Siêu Phẩm phải gọi lô này bằng bánh trưng,Giá:23 triệu / m²,Diện tích:100m²,",Xã Sóc Sơn,Hà Nội","Siêu phẩm không thể bỏ qua - Lô đất 100m² full thổ cư tại Sơn Đoài, Tân Minh, Sóc Sơn, Hà Nội
+ Diện tích: 100m², thổ cư hoàn toàn
+ Vị trí: Lô góc 2 mặt tiền, đường ô tô rộng rãi, thoáng mát
+ Tiện ích xung quanh: ......<< Xem chi tiết >>",https://alonhadat.com.vn/sieu-pham-phai-goi-lo-nay-bang-banh-trung--17244244.html
"Bán mảnh đất thổ cư tại thôn Phú Hạ, xã Kim Anh, huyện Sóc Sơn, Hà Nội.","Giá:1,35 tỷ",Diện tích:50m²,",Xã Kim Anh,Hà Nội","Chính chủ bán mảnh đất thổ cư 50m² tại thôn Phú Hạ, xã Kim Anh( Xã Minh phú cũ) huyện Sóc Sơn, Hà Nội.
+ Diện tích: 50m², đất thổ cư.
+ Vị trí: Thôn Phú Hạ, xã Kim Anh, huyện Sóc Sơn, Hà Nội.
+ Đường ô tô vào tận nơ......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-dat-chinh-chu-tai-thon-dong-xa-phu-lo-huyen-soc-son-tp-ha-noi-17324750.html
Chính chủ Mở bán hàng F0 siêu đẹp,Giá:17 triệu / m²,Diện tích:644m²,",Xã Kim Anh,Hà Nội","Mở bán hàng F0 siêu đẹp
+ Diện tích 3 lô : 206m 208m 230m. Một thửa có 3 sổ
✔Địa chỉ : Thôn Phú Thịnh - Xã Minh Phú - Huyện Sóc Sơn - Hà Nội 
✔Vị trí đẹp 
✔Đường 5m thông 
✔50m ra đđường nhựa rộng 15m
✔300m ra đườ......<< Xem chi tiết >>",https://alonhadat.com.vn/chinh-chu-mo-ban-hang-f0-sieu-dep-17347981.html
"Bán liền kề 55m2 ô tô tránh, vỉa hè, kinh doanh 2 thoáng, khu liền kề Đại kim, Nguyễn Cảnh","Giá:20,2 tỷ",Diện tích:55m²,"Đường Nguyễn Cảnh Dị,Phường Hoàng Liệt,Hà Nội","- Vị trí tuyệt vời, cạnh Hồ Linh Đàm thoáng mát quanh năm, cực tiện giao thông khu vực với quá nhiều tiện ích.
- Khu liền kề đáng sống bậc nhất Hà Nội, khu dân cư Vip.
- Nhà dân xây mới 5 tầng tâm huyết chắc chắn với t......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-lien-ke-55m2-o-to-tranh-via-he-kinh-doanh-2-thoang-khu-lien-ke-dai-kim-nguyen-canh-17428367.html
"(Hiếm) Tòa CHDV Triều Khúc, 85m2*9 tầng, MT 5M, 28 phòng KK, đủ PCCC, dòng tiền 8%/năm","Giá:14,9 tỷ",Diện tích:85m²,"Đường Triều Khúc,Phường Thanh Xuân,Hà Nội","TÒA NHÀ CCMN 9 TẦNG 28 PHÒNG - DIỆN TÍCH ĐÃ XÂY 85M - ĐÃ CHO BÊN THỨ 3 THUÊ ( hợp đồng 95tr/tháng đóng 3 cọc 1 ) - GIẤY PHÉP XÂY DỰNG  + PCCC NGHIỆM THU ĐẦY ĐỦ. NHÀ SIÊU RẺ CHỈ 180TR/M2 CẢ ĐẤT CẢ NHÀ 9 TẦNG
Hệ thống cam......<< Xem chi tiết >>",https://alonhadat.com.vn/-hiem-toa-chdv-trieu-khuc-80m2-9-tang-mt-5m-28-phong-kk-du-pccc-loi-nhuan-11-nam-14415098.html
Mặt phố cổ Hàng Lược-120m2/4 tầng-MT5.4-Giá 60 tỷ,Giá:60 tỷ,Diện tích:120m²,"Phố Hàng Lược,Phường Hoàn Kiếm,Hà Nội","🔥 SIÊU HIẾM MẶT PHỐ CỔ HÀNG LƯỢC - TRUNG TÂM HOÀN KIẾM - LÔ ĐẸP 120M² - MẶT TIỀN 5.4M - GIÁ 60 TỶ 🔥

💎 Vị trí kim cương giữa lòng phố cổ, kinh doanh sầm uất ngày đêm, phù hợp mọi loại hình: khách sạn, nhà hàng, spa,......<< Xem chi tiết >>",https://alonhadat.com.vn/mat-pho-co-hang-luoc-120m2-4-tang-mt5-4-gia-60-ty-17426468.html
Cần bán gấp trong tuần nhà mặt phố cổ Phùng Hưng-Giá 25 tỷ,Giá:25 tỷ,Diện tích:30m²,"Phố Phùng Hưng,Phường Hoàn Kiếm,Hà Nội","💎 MẶT PHỐ PHÙNG HƯNG – 2 CHIỀU SẦM UẤT – SỔ ĐỎ RIÊNG – GIÁ TỐT NHẤT PHỐ CỔ
Vị trí trung tâm Hoàn Kiếm, gần Hàng Mã – Hàng Cót – Lý Nam Đế, kinh doanh tấp nập.
Nhà 4 tầng đẹp, thông sàn – vừa ở vừa cho thuê hiệu suất c......<< Xem chi tiết >>",https://alonhadat.com.vn/can-ban-gap-trong-tuan-nha-mat-pho-co-phung-hung-gia-25-ty-17420050.html
Nhà mặt phố cổ Hàng Chĩnh-85m2/3 tầng-MT 4 x21-Giá 32 tỷ,Giá:32 tỷ,Diện tích:85m²,"Phố Hàng Chĩnh,Phường Hoàn Kiếm,Hà Nội","💎 MẶT PHỐ CỔ HÀNG CHĨNH – TRUNG TÂM HÀNG BUỒM – LÔ ĐẤT VÀNG XÂY KHÁCH SẠN – SỔ ĐỎ MỚI TINH

📍 Vị trí trung tâm phố cổ Hoàn Kiếm, vài bước ra chợ đêm – tuyến phố du lịch sầm uất, kinh doanh ngày đêm.
🏠 Diện tích 85m......<< Xem chi tiết >>",https://alonhadat.com.vn/nha-mat-pho-co-hang-chinh-85m2-3-tang-mt-4-x21-gia-32-ty-17417945.html
"CHÍNH CHỦ BÁN TOÀ NHÀ CCMN TẠI TÂN MAI, HOÀNG MAI, HN","Giá:19,35 tỷ",Diện tích:70m²,"Phố Tân Mai,Phường Hoàng Mai,Hà Nội","Chính chủ bán toà nhà ccmn tại Tân Mai, Hoàng Mai, Hà Nội 70m, 6 tầng, 9 căn hộ khép kín cách phố 50m, cách ô tô tránh 1 thân nhà, ô tô 4 chỗ đỗ cửa, ngõ thông.

Nhà mới xây năm 2024, 6 tầng, có thang máy, tầng 2 căn h......<< Xem chi tiết >>",https://alonhadat.com.vn/chinh-chu-ban-toa-nha-ccmn-tai-tan-mai-hoang-mai-hn-17376543.html
Bán nhà phố Minh Khai Hai Bà Trưng full Nội Thất tân Cổ Điển,"Giá:8,5 tỷ",Diện tích:63m²,"Đường Minh Khai,Phường Bạch Mai,Hà Nội","Nhỉnh 8 tỷ 63m 5 tầng 5 ngủ thang máy Minh Khai Hai Bà Trưng hàng xóm Time city, gần các trường đại học lớn, ngõ thông Minh Khai - Kim Ngiu 
Chủ tặng full nội thất tân cổ điển xịn
Sổ đỏ chính chủ ( Có thương lượng)......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-pho-minh-khai-hai-ba-trung-full-noi-that-tan-co-dien-17427359.html
Phú Thượng Gara ô tô - 7 tầng thang máy xây mới ở luôn,"Giá:11,999 tỷ",Diện tích:40m²,"Đường An Dương Vương,Phường Phú Thượng,Hà Nội","PHÚ THƯỢNG - Cạnh KĐT Ciputra - 40m2 x 7 tầng - nhà đẹp mới tinh - thang máy - gara ô tô - tiện ích vô vàn - chỉ hơn 10 t.ỷ. 
Vị trí cực đẹp gần đường đôi ciputra, tiện di chuyển các ngả
- Sổ vuông đẹp chính chủ - pháp......<< Xem chi tiết >>",https://alonhadat.com.vn/phu-thuong-gara-o-to-7-tang-thang-may-xay-moi-o-luon-16541155.html
"6 tầng thang máy Xuân Đỉnh, gara ô tô 7 chỗ , dân xây ở luôn","Giá:22,5 tỷ",Diện tích:65m²,"Đường Xuân Đỉnh,Phường Xuân Đỉnh,Hà Nội","Xuân Đỉnh - 65m2 x 6 tầng - dân xây - phân lô - thang máy - ô tô ngủ trong nhà - ngõ thông ô tô tránh - chỉ 16.xt.ỷ. 

Nhà mặt ngõ nông, ngõ thông, ô tô 7 chỗ đỗ cửa, view sân chơi cực thoáng, nhà dân xây chắc chắn tâm......<< Xem chi tiết >>",https://alonhadat.com.vn/6-tang-thang-may-xuan-dinh-gara-o-to-7-cho-dan-xay-o-luon-16559993.html
"Toà CCMN Đống Đa gần Văn Miếu QTG, lô góc 3 thoáng, 17 phòng KK dòng tiền 80 triệu/ tháng","Giá:13,5 tỷ",Diện tích:50m²,"Phố An Trạch,Phường Văn Miếu - Quốc Tử Giám,Hà Nội","NHỈNH 13 TỶ – TOÀ CCMN ĐỐNG ĐA GẦN VĂN MIẾU QUỐC TỬ GIÁM – LÔ GÓC 3 MẶT THOÁNG – 17 CĂN HỘ KHÉP KÍN – THANG MÁY – DÒNG TIỀN 80TR/THÁNG

- Vị trí: trung tâm quận Đống Đa, cách phố chỉ 80m, 5 phút lên phố Cổ, gần Văn Miế......<< Xem chi tiết >>",https://alonhadat.com.vn/toa-ccmn-dong-da-gan-van-mieu-qtg-lo-goc-3-thoang-17-phong-kk-dong-tien-80-trieu-thang-17417494.html
"SỐC!!! PHÂN LÔ HOÀNG VĂN THÁI, Ô TÔ TRÁNH, Ở SƯỚNG, 96M2, GIÁ 20 TỶ",Giá:20 tỷ,Diện tích:96m²,"Phố Hoàng Văn Thái,Phường Phương Liệt,Hà Nội","SỐC!!! PHÂN LÔ HOÀNG VĂN THÁI, Ô TÔ TRÁNH, Ở SƯỚNG, 96M2, GIÁ 20 TỶ
🔥 Thiết kế: S 96m x 5 tầng, 5pn, giá nhỉnh 20 tỷ
❌ Vi trí: đẹp, phân lô ô bàn cờ, thoáng 2 mặt, 2 ô tô tránh, 2 ô tô trong nhà, khu vực yên tĩnh, an ......<< Xem chi tiết >>",https://alonhadat.com.vn/soc-phan-lo-hoang-van-thai-o-to-tranh-o-suong-96m2-gia-20-ty-17335504.html
✨ SIÊU PHẨM 26 LÔ ĐẤT ĐÔ THỊ VỆ TINH HÒA LẠC – SỞ HỮU NGAY HÔM NAY ✨,Giá:3 tỷ,Diện tích:100m²,"Đường Quốc lộ 21,Xã Đoài Phương,Hà Nội","Bạn đang tìm kiếm mảnh đất vàng để đầu tư đón đầu làn sóng bùng nổ của Hòa Lạc?
👉 Cơ hội đã đến: 26 lô đất F0 tại Sơn Đông – Sơn Tây (nay là xã Đoài Phương, TP Hà Nội) chính thức ra mắt thị trường!

📍 VỊ TRÍ VÀNG – ......<< Xem chi tiết >>",https://alonhadat.com.vn/-sieu-pham-26-lo-dat-do-thi-ve-tinh-hoa-lac-so-huu-ngay-hom-nay--17159892.html
"Chuyển xuống BT bán rẻ ! Chung Cư 81 Lê Đức Thọ: 79m2 2N, 2WC, ở ngay","Giá:5,93 tỷ",Diện tích:79m²,"Đường Lê Đức Thọ,Phường Từ Liêm,Hà Nội","Mô tả : Căn hộ thuộc dự án Cland - CT3 .
Vị trí : Mặt đường Lê Đức Thọ . Đối diện khu đô thị Mỹ Đình 2 . Gần ngã tư Lê Đức Thọ - Nguyễn Hoàng .
- Tòa nhà thiết kế xây dựng là 22 tầng .
Bao gồm có 5 tầng khối đế là TTT......<< Xem chi tiết >>",https://alonhadat.com.vn/chuyen-xuong-bt-ban-re-chung-cu-81-le-duc-tho-79m2-2n-2wc-o-ngay-17425220.html
Bán nhà cạnh ga hoàng cầu 50m2. Ngõ Rộng 5m. 10m ra mặt phố ô tô đỗ cửa . Giá 16.9 tỷ,"Giá:16,9 tỷ",Diện tích:50m²,"Phố Hoàng Cầu,Phường Ô Chợ Dừa,Hà Nội","Cực hiếm.. Cực đẹp
Chính chủ cần bán căn nhà phố Hoàng cầu_ đầu phố_ Cạnh ga hoàng cầu..đi bộ ra ga hoàng cầu
Cạnh Quận Uỷ _ Hồ Hoàng cầu
Cổng nhà là mặt phố _ Trước nhà rộng 5m_ Ô to đỗ cửa _ phù hợp ở _ kinh doanh v......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-pho-hoang-cau-50m-ngo-rong-5m-10m-ra-mat-pho-o-to-do-cua-gia-16-9-ty-17423959.html
Chủ Cắt Lỗ Trả Nợ Ngân Hàng Bán Lô Đất 2 Mặt Tiền Full Thổ Cư,Giá:26 triệu / m²,Diện tích:100m²,"Đường Cổ Đông,Xã Đoài Phương,Hà Nội","Chủ cắt lỗ để trả nợ ngân hàng có gửi em bán mảnh đất : 
Dt : 120m full thổ cư mt 8m, lô góc 2 mặt tiền, trục chính ngay ngã 3 
Vị trí nằm trong khu dân cư xã Cổ Đông.
Tiện ích  xung quanh đầy đủ : trường học, UBND, c......<< Xem chi tiết >>",https://alonhadat.com.vn/chu-cat-lo-tra-no-ngan-hang-ban-lo-dat-2-mat-tien-full-tho-cu-16795496.html
SIÊU PHẨM 5 TẦNG x 32m2 - PHỐ KHƯƠNG ĐÌNH giá 7 TỶ,Giá:7 tỷ,Diện tích:32m²,"Đường Khương Đình,Phường Khương Đình,Hà Nội","NHỈNH 7 TỶ CÓ NGAY 32M2 x 5 TẦNG - KHƯƠNG ĐÌNH
NHÀ ĐẸP KHƯƠNG ĐÌNH -  THANH XUÂN - HÀNG XÓM VINHOMES GALAXY, 30 m RA Ô TÔ -  TRƯỚC NHÀ CỰC THOÁNG, KHU DÂN TRÍ CAO- AN SINH ĐỈNH  💥💥💥
📌 Nhà chủ xây kiên cố, tâm huyết......<< Xem chi tiết >>",https://alonhadat.com.vn/sieu-pham-5-tang-x-32m2-pho-khuong-dinh-gia-7-ty-17409199.html
"Nhà ngõ Hoà Bình 7, Minh Khai-Bạch Mai. MB41m2*4T mới, vị trí đẹp","Giá:10,4 tỷ",Diện tích:41m²,"Đường Minh Khai,Phường Bạch Mai,Hà Nội","❇️Nhà ngõ Ngõ Hoà Bình 7 phố Minh Khai- Phường Bạch Mai -Hai Bà Trưng, Gần TTTM Chợ Mơ.
✅ MB41m2, MT4m. Nhà mới 4 Tầng, mỗi tầng 2 phòng ngủ, tổng 5PN, 4WC. Nhà Hai mặt thoáng trước sau, ban công rộng. 
   ✅Đã full nội......<< Xem chi tiết >>",https://alonhadat.com.vn/nha-ngo-hoa-binh-7-minh-khai-bach-mai-mb41m2-4t-moi-vi-tri-dep-17364079.html
"))ĐƯỜNG TRỤC 6,5m KINH DOANH BÁN GẤP TRẢ NỢ","Giá:7,6 tỷ",Diện tích:106m²,",Xã Thư Lâm,Hà Nội","Mới hoàn toàn,🇻🇳🇻🇳VỪA XÂY MỐC GIỚI XONG 
107m2 - ĐƯỜNG 6,5m TRƯỚC MẶT
- LÔ GÓC 2 MẶT THOÁNG - KINH DOANH ĐƯỢC
- ĐƯỜNG ĐANG TRẢI APPHAN VỊ TRÍ ĐẸP NHẤT XÃ

DỰ ÁN PHÂN LÔ VỈA HÈ TRƯỚC MẶT SẮP HÌNH THÀNH
- VỊ TRÍ ......<< Xem chi tiết >>",https://alonhadat.com.vn/-duong-truc-6-5m-kinh-doanh-ban-gap-tra-no-17050102.html
"Nam Dư 98m2, 15 Phòng KK, Dòng Tiền Thực 700tr/Năm, 6℅ , PCCC, Full Nội Thất,Chính Chủ 11T",Giá:11 tỷ,Diện tích:98m²,"Đường Nam Dư Thượng,Phường Lĩnh Nam,Hà Nội","Vị Trí: Đầu Nam Dư - Lĩnh Nam. 98m2,
 4 nổi, 1 bán hầm, Móng 7 tầng, 15 phòng khép kín.
 
+ Dòng tiền thực 700tr/năm ( đang cho thuê 4 tr/phòng/ tháng), lãi suất khủng ~ 6% năm.

 + Hệ thống tầng hầm để xe, an toàn ......<< Xem chi tiết >>",https://alonhadat.com.vn/nam-du-98m2-15-phong-kk-dong-tien-thuc-700tr-nam-6-pccc-full-noi-that-chinh-chu-11t-17298698.html
6.3 TỶ-25/28M2- 5 TẦNG NGÕ NÔNG-BẠCH MAI-CHÙA LIÊN PHÁI-PHỐ HUẾ-HBT,"Giá:6,3 tỷ",Diện tích:25m²,"Phố Bạch Mai,Phường Bạch Mai,Hà Nội","5,75 TỶ-25/28M2- 5 TẦNG NGÕ NÔNG-BẠCH MAI-CHÙA LIÊN PHÁI
*Bạch Mai-Ngõ Chùa Liên Phái -25/28m2- 5 tầng-mặt tiền 3.2m- giá 6.3 tỷ 
- Nhà nằm ở Bạch Mai, ngay nút giao Bạch Mai-Chùa Liên Phái-Phố Huế (Hai Bà Trưng, Hà Nộ......<< Xem chi tiết >>",https://alonhadat.com.vn/5-75-ty-25-28m2-5-tang-ngo-nong-bach-mai-chua-lien-phai-pho-hue-hbt-17243909.html
"Bán nhà 5 tầng thang máy mới coong Láng ngay sát Nguyễn Chí Thanh.Dt38m, giá 9.7 tỷ","Giá:9,7 tỷ",Diện tích:38m²,"Đường Láng Trung,Phường Láng,Hà Nội","- Bán Nhà 5 tầng , Thang Máy mới coong.Láng ngay sát Nguyễn Chí Thanh.

• Dt:38m, giá 9.7 tỷ

SIÊU PHẨM ĐỐNG ĐA  - ĐÚNG 10M RA Ô TÔ  - NHÀ MỚI - THANG MÁY - LÔ GÓC - DÂN TRÍ CAO - Ở SƯỚNG 

 🔥Thiết kế 5 tầng : 
-......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-5-tang-thang-may-moi-coong-lang-ngay-sat-nguyen-chi-thanh-dt38m-gia-9-7-ty-17420734.html
"Siêu dòng tiền: Bạch Mai - 60m2 - 5 tầng 4 thoáng, MT 4m - 12 phòng KK - nhỉnh 200 tr/m2","Giá:14,8 tỷ",Diện tích:60m²,"Đường Thanh Nhàn,Phường Bạch Mai,Hà Nội","Siêu phẩm dòng tiền: Nhà Bạch Mai - 60m2 - 5 tầng 4 mặt thoáng, MT 4m - 12 phòng khép kín - nhỉnh 200tr/m2

Siêu phẩm dòng tiền 60m2 Bạch Mai - duy nhất 
1. Vị trí siêu đỉnh: trung tâm quận HBT, 5p di chuyển đi khắp c......<< Xem chi tiết >>",https://alonhadat.com.vn/sieu-dong-tien-bach-mai-60m2-5-tang-4-thoang-mt-4m-12-phong-kk-nhinh-200-tr-m2-17417625.html
"Trung Liệt - Đống Đa , nhà mới , thang máy. Ô tô vào nhà - kinh doanh sầm uất giá 10 tỷ",Giá:10 tỷ,Diện tích:30m²,"Đường Trung Liệt,Phường Đống Đa,Hà Nội","HÀNG HIẾM - TRUNG LIỆT - THÁI HÀ - PHỐ VIP TRUNG TÂM ĐỐNG ĐA - XÂY MỚI - THANG MÁY - Ô TÔ NGỦ TRONG NHÀ - KINH DOANH TẤP NẬP

xây mới 6 tầng chắc chắn, thiết kế hiện đại phù hợp vừa ở vừa làm spa, văn phòng...
+ Tầng ......<< Xem chi tiết >>",https://alonhadat.com.vn/trung-liet-dong-da-nha-moi-thang-may-o-to-vao-nha-kinh-doanh-sam-uat-gia-10-ty-17417354.html
"Bán nhà cho thuê có THANG MÁY, 2 mặt thoáng tại phố Xốm, gần ĐH ĐạiNam~44m2x5T, 7- 8phòng.","Giá:6,5 tỷ",Diện tích:44m²,"Phố Xốm,Phường Phú Lương,Hà Nội","Bán nhà cho thuê có thang máy, 2 mặt thoáng tại phố Xốm, gần ĐH Đại Nam~44m2x5T, 7 phòng.

* DT sổ: 43,7m2. Thửa vuông vắn
Nhà xây độc lập 5 tầng kiên cố, gồm 7 phòng cho thuê, có thang máy.
- Tầng 1: 1 phòng+WC
- T......<< Xem chi tiết >>",https://alonhadat.com.vn/ban-nha-cho-thue-co-thang-may-2-mat-thoang-tai-pho-xom-gan-dh-dainam-44m2x5t-7-8phong--17416075.html
